nome,preco,oferta,gramagem,categoria,data_ini,data_fim,date_source,supermarket,tablode_source,marca,produto
Papel Higiênico Personal Vip,46.9,True,,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,personal vip,papel higiênico
Talco Antisséptico Barla,7.29,True,,Higiene Pessoal,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,barla,talco antisséptico
Água Sanitária Qboa,1.89,True,1L,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,qboa,água sanitária
Amaciante para Roupa Concentrado Fofo,16.8,True,1.5L,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,fofo,amaciante para roupa concentrado
Detergente em Pó Brilhante,33.9,True,1.6kg,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,brilhante,detergente em pó
Detergente em Pó Omo,56.9,True,5.6kg,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,omo,detergente em pó
Álcool Zumbi,5.49,True,1L,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,zumbi,álcool
Desinfetante Bufalo,3.69,True,2L,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,bufalo,desinfetante
Desinfetante Germisex Pato,12.99,True,,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,germisex pato,desinfetante
Limpador Casa & Perfume,10.8,True,,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,,Limpador Casa & Perfume
Desodorizador Aerossol Secar,10.5,True,360ml,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,secar,desodorizador aerossol
Limpador Perfumado Concentrado Secar,6.99,True,120ml,Limpeza,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,secar,limpador perfumado concentrado
Pneu Westlake,229.9,True,,Automotivo,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,westlake,pneu
Aditivo para Radiador Proauto,5.9,True,1L,Automotivo,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,proauto,aditivo para radiador
Alimento para Cães Adultos Mino,79.9,True,15kg,Pet,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,mino,alimento para cães adultos
Alimento para Gatos Bast Cat,8.5,True,,Pet,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,bast cat,alimento para gatos
Tapete Higiênico para Cães Dog Rag,33.9,True,,Pet,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/5_200dc4eb92.webp,dog rag,tapete higiênico para cães
Azeitona verde St Isabel,8.9,True,500g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,st isabel,azeitona verde
Goiabada Xavante,2.19,True,300g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,xavante,goiabada
Milho Verde Sofruta,2.69,True,170g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,sofruta,milho verde
Palmito Acai Cristalina,8.9,True,300g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,cristalina,palmito acai
Tomate Pelado Salsaretti,3.99,True,400g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,salsaretti,tomate pelado
Achocolatado em Pó Toddy,7.28,True,370g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,toddy,achocolatado em pó
Cereal Matinal Super Balls,6.29,True,300g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,super balls,cereal matinal
Creme de Leite Damare,2.49,True,200g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,damare,creme de leite
Doce Cremoso Junco,4.49,True,400g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,junco,doce cremoso
Catchup/Mostarda Arrifana,5.79,True,400g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,arrifana,catchup/mostarda
Molho de Pimenta Bravo,7.9,True,150ml,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,bravo,molho de pimenta
Vinagre de Álcool Peixe,1.15,True,750ml,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,vinagre,de álcool peixe
Coco Ralado Bom Coco,1.29,True,50g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,bom coco,coco ralado
Água de Coco Quadrado,5.98,True,1L,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,quadrado,água de coco
Ervilha Etti,2.49,True,170g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,etti,ervilha
Molho de Tomate Cirio Passata,12.9,True,690g,Mercearia,23/09/2024,26/09/2024,2024_10_09,atacadao,imagens_atacadao/2_f8eeb16283.webp,cirio passata,molho de tomate
Agua Mineral Cristalina,0.79,True,510ml,Água,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,cristalina,agua mineral
Suco Natural One,14.45,True,1.5L,Suco,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,natural one,suco
Suco Xandô,17.9,True,1.5L,Suco,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,xandô,suco
Suco Misto Nutri,10.89,True,1.5L,Suco,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,nutri,suco misto
Suco Nutri Néctar,4.69,True,1L,Suco,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,nutri,suco néctar
Refresco Líquido Guaraviton,1.79,True,500ml,Refresco,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,guaraviton,refresco líquido
Refresco em Pó Tang,0.89,True,25g,Refresco em Pó,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,fresco,re em pó tang
Refrigerante Guaraná Antarctica,40.5,True,2L,Refrigerante,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,guaraná antarctica,refrigerante
Refrigerante Coca-Cola,2.99,True,350ml,Refrigerante,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,coca-cola,refrigerante
Refrigerante Fanta,2.99,True,350ml,Refrigerante,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,fanta,refrigerante
Refrigerante Schin,2.18,True,350ml,Refrigerante,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,schin,refrigerante
Refrigerante Sukita,4.99,True,2L,Refrigerante,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,sukita,refrigerante
Refrigerante Pepsi,6.99,True,2.5L,Refrigerante,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,pepsi,refrigerante
Isotônico Powerade,3.39,True,500ml,Isotônico,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,powerade,isotônico
Whisky Johnnie Walker Black Label,109.9,True,750ml,Whisky,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,johnnie walker black label,whisky
Whisky White Horse,74.9,True,1L,Whisky,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,white horse,whisky
Vinho Argentino Canciller,22.9,True,750ml,Vinho,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,canciller,vinho argentino
Vinho Chileno G7,19.9,True,750ml,Vinho,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,chileno,vinho g7
Gin Bombay Sapphire,109.9,True,750ml,Gin,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,bombay sapphire,gin
Coquetel Contini,21.89,True,900ml,Coquetel,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,coquetel,contini
Bebida Mista Smirnoff Ice,4.99,True,269ml,Bebida Mista,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,smirnoff ice,bebida mista
Cachaça Do Barril Pedra 90,3.29,True,960ml,Cachaça,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,do barril pedra 90,cachaça
Cerveja Itaipava,1.78,True,269ml,Cerveja,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,itaipava,cerveja
Cerveja Petra,2.48,True,350ml,Cerveja,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,petra,cerveja
Salgadinho Lucky/Torcida,1.69,True,80g,Salgadinho,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/3_b14ca99aad.webp,lucky/torcida,salgadinho
Detergente em Pó Tixan Primavera,18.9,False,2.4kg,Limpeza,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/48dbb22f678884dc75841136b1e262afe4fb653e.webp,tixan,detergente em pó primavera
Lava Roupas Líquido Tixan Antibac,8.9,False,900ml,Limpeza,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/48dbb22f678884dc75841136b1e262afe4fb653e.webp,tixan,lava roupas líquido antibac
Amaciante para Roupas Concentrado Ypê Blue,9.9,False,900ml,Limpeza,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/48dbb22f678884dc75841136b1e262afe4fb653e.webp,ypê,amaciante para roupas concentrado blue
Tira Manchas Gel Ypê,6.99,False,462g,Limpeza,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/48dbb22f678884dc75841136b1e262afe4fb653e.webp,ypê,tira manchas gel
Tira Manchas em Pó Tixan Brancas e Coloridas,11.9,False,380g,Limpeza,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/48dbb22f678884dc75841136b1e262afe4fb653e.webp,tixan,tira manchas em pó brancas e coloridas
Amaciante de Roupas Ypê Aconchego Azul,2.5,False,500ml,Limpeza,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/48dbb22f678884dc75841136b1e262afe4fb653e.webp,ypê,amaciante de roupas aconchego azul
Óleo Misto de Soja e Oliva St. Isabel,65.0,True,3x900ml,Óleo,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,st. isabel,óleo misto de soja e oliva
Refresco em Pó Camp,4.99,True,150g,Bebidas,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,fresco,re em pó camp
Chocolate Granulado Camp,10.79,True,1.01kg,Doces,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,camp,chocolate granulado
Caldo Qualimax,9.29,True,1.01kg,Temperos,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,qualimax,caldo
Ervilha Bonare,18.9,True,1.7kg,Conservas,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,bonare,ervilha
Milho Verde Bonare,19.9,True,1.7kg,Conservas,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,bonare,milho verde
Molho de Tomate So Fruta,7.99,True,1.7kg,Molhos,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,so fruta,molho de tomate
Tomate Seco Tomatto,29.0,True,700g,Conservas,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,tomatto,tomate seco
Achocolatado em Pó Toddy,25.8,True,1.6kg,Bebidas,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,toddy,achocolatado em pó
Cereal Matinal Sucrilhos Kellogg's,25.9,True,1kg,Cereais,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,sucrilhos,cereal matinal kellogg's
Creme de Leite Piracanjuba,13.9,True,1kg,Laticínios,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,piracanjuba,creme de leite
Doce Pastoso Álipio,79.0,True,3.8kg,Doces,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,álipio,doce pastoso
Ketchup/Mostarda Campo Belo,8.99,True,3.6kg,Molhos,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,campo belo,ketchup/mostarda
Maionese/Catchup/Mostarda Calcuta,7.99,True,1.84kg,Molhos,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,calcuta,maionese/catchup/mostarda
Molho Shoyu Sakura,55.0,True,5L,Molhos,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,sakura,molho shoyu
Leite de Coco Sococo,21.5,True,1L,Laticínios,23/09/2024,25/09/2024,2024_10_09,atacadao,imagens_atacadao/flyer_9_page_0001_1f8a274b57.webp,sococo,leite de coco
Cerveja Amstel Lata,2.39,Boa do Dia,269ml,Bebidas Alcoólicas,27/09/24,27/09/24,2024_10_09,atacadao,imagens_atacadao/0_331009ac0d.webp,amstel,cerveja lata
Biscoito Bauducco Chocolate/ Gotas de Chocolate,5.99,True,335g,Biscoitos,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/a67575e6c2bc7e6bbef28af3ba8a8f9e330f0647.webp,bauducco,biscoito chocolate/ gotas de chocolate
Biscoito Bauducco Cereale Cacau/ Maçã com Passas,3.59,True,170g,Biscoitos,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/a67575e6c2bc7e6bbef28af3ba8a8f9e330f0647.webp,bauducco,biscoito cereale cacau/ maçã com passas
Pão de Mel Bauducco,6.99,True,180g,Doces,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/a67575e6c2bc7e6bbef28af3ba8a8f9e330f0647.webp,bauducco,pão de mel
Torrada Bauducco Cereais Multicereais,3.99,True,128g,Torradas,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/a67575e6c2bc7e6bbef28af3ba8a8f9e330f0647.webp,bauducco,torrada cereais multicereais
Torrada Bauducco Tradicional,3.79,True,142g,Torradas,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/a67575e6c2bc7e6bbef28af3ba8a8f9e330f0647.webp,bauducco,torrada tradicional
Torrada Bauducco Integral/Multigrãos,3.99,True,142g,Torradas,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/a67575e6c2bc7e6bbef28af3ba8a8f9e330f0647.webp,bauducco,torrada integral/multigrãos
Refrigerante Fanta,7.79,True,2L,Bebidas,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,fanta,refrigerante
Refrigerante Coca-Cola e Fanta,16.49,True,2L,Bebidas,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,coca-cola e fanta,refrigerante
Refrigerante Coca-Cola,9.99,True,2L,Bebidas,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,coca-cola,refrigerante
Refresco Líquido Valle Kapo,2.29,True,200ml,Bebidas,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,valle kapo,refresco líquido
Doritos,3.49,True,37g,Salgadinhos,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,doritos,
Fandangos,1.49,True,45g,Salgadinhos,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,fandangos,
Lay's,7.49,True,96g,Salgadinhos,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,lay's,
Batata Pingo d'Ouro,7.29,True,300g,Salgadinhos,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,pingo d'ouro,batata
Ruffles,3.79,True,31g,Salgadinhos,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,ruffles,
Sensações,5.59,True,40g,Salgadinhos,27/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/0bd7d42e8b207100e4fd451d6474d0214785f7b4.webp,sensações,
Salgadinho Chips de Arroz Kodilar,3.99,True,70g,Snacks,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,salgadinho chips de arroz
Biscoito de Arroz Kodilar,4.49,True,80g,Biscoitos,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,biscoito de arroz
Biscoito de Arroz Kodilar Canela,4.49,True,80g,Biscoitos,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,biscoito de arroz canela
Biscoito sem Glúten Kodilar Maizena,5.49,True,112g,Biscoitos,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,biscoito sem glúten maizena
Aveia Kodilar Flocos Finos,7.49,True,200g,Cereais,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,aveia flocos finos
Farelo de Aveia Kodilar,7.49,True,200g,Cereais,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,farelo de aveia
Granola Kodilar Banana e Canela/Maçã e Mel,7.49,True,300g,Cereais,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,granola banana e canela/maçã e mel
Açúcar Kodilar Mascavo,7.49,True,500g,Açúcar,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,açúcar mascavo
Biscoito de Arroz Kodilar Mel com cobertura de chocolate,9.49,True,140g,Biscoitos,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,biscoito de arroz mel com cobertura de chocolate
Pasta de Amendoim Kodilar Integral,15.49,True,450g,Pastas,09/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/1_35e54113fd.webp,kodilar,pasta de amendoim integral
Amaciante para Roupas Ypê PRO Azul,23.9,False,7L,Amaciante,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/f31ddfc091e9e9608a81ccb4c4f2beb1d37076f4.webp,ypê,amaciante para roupas pro azul
Detergente em Pó Tixan Primavera,67.9,False,3kg,Detergente em Pó,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/f31ddfc091e9e9608a81ccb4c4f2beb1d37076f4.webp,tixan,detergente em pó primavera
Lava Roupas Líquido Tixan Primavera,52.9,False,7L,Lava Roupas Líquido,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/f31ddfc091e9e9608a81ccb4c4f2beb1d37076f4.webp,tixan,lava roupas líquido primavera
Amaciante para Roupas Concentrado Ypê Azul/Encanto,6.9,False,500ml,Amaciante,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/f31ddfc091e9e9608a81ccb4c4f2beb1d37076f4.webp,ypê,amaciante para roupas concentrado azul/encanto
Detergente em Pó Ypê Power ACT,16.9,False,"1,6kg",Detergente em Pó,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/f31ddfc091e9e9608a81ccb4c4f2beb1d37076f4.webp,ypê,detergente em pó power act
Lava Roupas Líquido Ypê Power ACT,26.9,False,3L,Lava Roupas Líquido,16/09/2024,23/09/2024,2024_10_09,atacadao,imagens_atacadao/f31ddfc091e9e9608a81ccb4c4f2beb1d37076f4.webp,ypê,lava roupas líquido power act
Vodka Intencion,5.9,10% OFF,473ml,Bebidas alcoólicas,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,intencion,vodka
Vodka Moscowita,7.99,15% OFF,900ml,Bebidas alcoólicas,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,moscowita,vodka
Vodka Skyy,34.9,15% OFF,750ml,Bebidas alcoólicas,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,skyy,vodka
Vodka Smirnoff,35.9,15% OFF,998ml,Bebidas alcoólicas,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,smirnoff,vodka
Vodka Smirnoff,25.9,15% OFF,600ml,Bebidas alcoólicas,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,smirnoff,vodka
Vodka Smirnoff,55.9,15% OFF,1.75L,Bebidas alcoólicas,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,smirnoff,vodka
Salgadinho Elma Chips Cheetos/Fandangos,11.98,,270g,Snacks,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,elma chips,salgadinho cheetos/fandangos
Salgadinho Elma Chips Cheetos,4.98,,75g,Snacks,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,elma chips,salgadinho cheetos
Salgadinho Elma Chips Doritos,14.98,,210g,Snacks,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,elma chips doritos,salgadinho
Salgadinho Elma Chips Lay's,9.98,,115g,Snacks,26/09/2024,29/09/2024,2024_10_09,atacadao,imagens_atacadao/1_0a4c7f161a.webp,elma chips lay's,salgadinho
Peixe Sardinha Inteira Vitalmar,7.8,True,800g,Peixe Congelado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,vitalmar,peixe sardinha inteira
Peixe Sardinha Lage Eviscerada Vitalmar,10.9,True,800g,Peixe Congelado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,vitalmar,peixe sardinha lage eviscerada
Filé de Sardinha Costa Sul Congelado,14.9,True,800g,Peixe Congelado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,costa sul,filé de sardinha congelado
Peixe Polaca do Alaska Costa Sul Congelado,16.9,True,500g,Peixe Congelado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,costa sul,peixe polaca do alaska congelado
Filé de Peixe Panga Costa Sul Congelado,22.9,True,800g,Peixe Congelado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,costa sul,filé de peixe panga congelado
Peixe Cação em Postas Bom Peixe Congelado,20.9,True,800g,Peixe Congelado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,bom peixe,peixe cação em postas congelado
Kani Kama Costa Sul Congelado,6.9,True,200g,Frutos do Mar Congelados,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,costa sul,kani kama congelado
Peito de Tilápia sem Pele Vitalmar Congelado,11.9,True,500g,Peixe Congelado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,vitalmar,peito de tilápia sem pele congelado
Tirinhas de Salmão Costa Sul Empanado,13.9,True,300g,Peixe Empanado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,costa sul,tirinhas de salmão empanado
Tirinhas Stick Copacol Tilápia,29.9,True,"1,5kg",Peixe Empanado,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,copacol,tirinhas stick tilápia
Seleta Seara Congelada,12.9,True,"1,02kg",Legumes Congelados,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,seleta,seara congelada
Ervilha Grano Congelada,15.9,True,1kg,Legumes Congelados,26/09/2024,30/09/2024,2024_10_09,atacadao,imagens_atacadao/1_a95d64b071_02.webp,grano,ervilha congelada
Biscoito Wafer Bauducco,2.69,True,104g/140g,Biscoitos,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/95182657b805f53b8dc574ecc00ba0d92f67f010.webp,bauducco,biscoito wafer
Biscoito Choco Biscuit Bauducco,5.39,True,80g,Biscoitos,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/95182657b805f53b8dc574ecc00ba0d92f67f010.webp,bauducco,biscoito choco biscuit
Biscoito Cookies Bauducco,3.79,True,96g,Biscoitos,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/95182657b805f53b8dc574ecc00ba0d92f67f010.webp,bauducco,biscoito cookies
Biscoito Recheado Bauducco,1.39,True,108g,Biscoitos,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/95182657b805f53b8dc574ecc00ba0d92f67f010.webp,bauducco,biscoito recheado
Biscoito Recheadinho Bauducco,2.79,True,104g/112g,Biscoitos,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/95182657b805f53b8dc574ecc00ba0d92f67f010.webp,bauducco,biscoito recheadinho
Bolinho Bauducco,1.45,True,40g,Bolinhos,16/09/2024,22/09/2024,2024_10_09,atacadao,imagens_atacadao/95182657b805f53b8dc574ecc00ba0d92f67f010.webp,bauducco,bolinho
Arroz Integral Meu Biju 8 Grãos com Aveia,7.99,True,500g,Arroz,26/09/2024,02/10/2024,2024_10_09,atacadao,imagens_atacadao/0_4b30c15747.webp,meu biju,arroz integral 8 grãos com aveia
